"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
14526,"Cijk_Alik_Bljk_HSS_BH_HA_S_UserArgs_MT256x64x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA256_LBSPPB256_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV1_MIWT4_4_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA0_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKFTR0_SKXCCM0_TLDS2_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB4_WSGRA0_WSGRB0_WS32_WG64_2_1.kd",1,0,7245,855933,855933,4096,128,55808,0,256,0,128,32,"0x0","0x7276c9660080",130249129480287,130249133674909,130249133756389,130249133767539,81480
14527,"compressor_prefill_pool_kernel",1,0,7246,855933,855933,65536,256,0,1040,24,0,128,32,"0x0","0x727917a77d40",130249129490877,130249133760429,130249133775950,130249133787167,15521
14528,"rms_norm_weight_kernel",1,0,7247,855933,855933,32768,256,1024,0,16,0,128,32,"0x0","0x727917a76f80",130249129496237,130249133780430,130249133783630,130249133791204,3200
14529,"rope_tail_kernel",1,0,7248,855933,855933,4096,256,0,0,16,0,128,32,"0x0","0x727917a770c0",130249129501106,130249133787470,130249133789430,130249133797366,1960
14530,"fp8_kv_quantize_kernel",1,0,7249,855933,855933,57344,64,512,0,16,0,128,32,"0x0","0x727917a77100",130249129505264,130249133793750,130249133796790,130249133801173,3040
14531,"__amd_rocclr_fillBufferAligned.kd",1,0,7250,855933,855933,2048,256,0,0,16,0,128,32,"0x0","0x72a79a7f5740",130249129511105,130249133800910,130249133803270,130249133804670,2360
14532,"fill_f32_kernel",1,0,7251,855933,855933,8192,256,0,0,8,0,128,32,"0x0","0x727917a76280",130249129516135,130249133807270,130249133808710,130249133822594,1440
14533,"compressor_set_rows_kernel",1,0,7252,855933,855933,4096,256,0,0,16,0,128,32,"0x0","0x727917a77d00",130249129521705,130249133812790,130249133814990,130249133826170,2200
14534,"f32_to_f16_kernel",1,0,7253,855933,855933,16384,256,0,0,8,0,128,32,"0x0","0x727917a76600",130249129528318,130249133818870,130249133820310,130249133830118,1440
14535,"Cijk_Alik_Bljk_HSS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR0_PKA0_SIA1_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_TLDS2_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG16_2_1.kd",1,0,7254,855933,855933,2048,32,6656,0,128,0,128,32,"0x0","0x7276e9947f00",130249129548817,130249133824430,130249133848750,130249133859203,24320
14536,"f32_to_f16_kernel",1,0,7255,855933,855933,16384,256,0,0,8,0,128,32,"0x0","0x727917a76600",130249129556992,130249133852790,130249133854550,130249133863301,1760
14537,"Cijk_Alik_Bljk_HSS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x32_MI16x16x1_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSUAMB_GLS0_ISA1201_IU1_K1_LDSTI0_LBSPPA128_LBSPPB128_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV1_MIWT1_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR0_PKA0_SIA1_SS0_SPO0_SRVW0_SSO0_SVW8_SK0_SKFTR0_SKXCCM0_TLDS2_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS32_WG16_2_1.kd",1,0,7256,855933,855933,2048,32,6656,0,128,0,128,32,"0x0","0x7276e9947f00",130249129573052,130249133858390,130249133878150,130249133880063,19760
14538,"__amd_rocclr_fillBufferAligned.kd",1,0,7257,855933,855933,2048,256,0,0,16,0,128,32,"0x0","0x72a79a7f5740",130249129580937,130249133882071,130249133884311,130249133885052,2240
14539,"fill_f32_kernel",1,0,7258,855933,855933,8192,256,0,0,8,0,128,32,"0x0","0x727917a76280",130249129586107,130249133888231,130249133889551,130249133891334,1320
14540,"compressor_set_rows_kernel",1,0,7259,855933,855933,4096,256,0,0,16,0,128,32,"0x0","0x727917a77d00",130249129590566,130249133893511,130249133895511,130249133907825,2000
14541,"f32_to_f16_kernel",1,0,7260,855933,855933,2097152,256,0,0,8,0,128,32,"0x0","0x727917a76600",130249129596968,130249133899471,130249133912031,130249133912975,12560
